Food group,Food source,Measurement,Food group:Food source,Survey years:Variable,Value,Table,Demographics,ozEquivalent,foodType
"Vegetables, other starchy",FAFH: Fast food,Cups,"Vegetables, other starchy:FAFH: Fast food",2017-2018-Mean,0.0,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.0,Plant
"Vegetables, other starchy",FAFH: School,Cups,"Vegetables, other starchy:FAFH: School",2017-2018-Mean,0.0,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.0,Plant
"Vegetables, other starchy",FAFH: Others,Cups,"Vegetables, other starchy:FAFH: Others",2017-2018-Mean,0.0,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.0,Plant
"Vegetable, tomatoes ",Total,Cups,"Vegetable, tomatoes:Total",2017-2018-Mean,0.26,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,2.08,Plant
"Vegetable, tomatoes ",FAH,Cups,"Vegetable, tomatoes:FAH",2017-2018-Mean,0.16,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,1.28,Plant
"Vegetable, tomatoes ",FAFH,Cups,"Vegetable, tomatoes:FAFH",2017-2018-Mean,0.09,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.72,Plant
"Vegetable, tomatoes ",FAFH: Restaurant,Cups,"Vegetable, tomatoes:FAFH: Restaurant",2017-2018-Mean,0.03,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.24,Plant
"Vegetable, tomatoes ",FAFH: Fast food,Cups,"Vegetable, tomatoes:FAFH: Fast food",2017-2018-Mean,0.05,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.4,Plant
"Vegetable, tomatoes ",FAFH: School,Cups,"Vegetable, tomatoes:FAFH: School",2017-2018-Mean,0.0,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.0,Plant
"Vegetable, tomatoes ",FAFH: Others,Cups,"Vegetable, tomatoes:FAFH: Others",2017-2018-Mean,0.01,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.08,Plant
"Vegetable, red and orange ",Total,Cups,"Vegetable, red and orange:Total",2017-2018-Mean,0.09,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.72,Plant
"Vegetable, red and orange ",FAH,Cups,"Vegetable, red and orange:FAH",2017-2018-Mean,0.07,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.56,Plant
"Vegetable, red and orange ",FAFH,Cups,"Vegetable, red and orange:FAFH",2017-2018-Mean,0.03,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.24,Plant
"Vegetable, red and orange ",FAFH: Restaurant,Cups,"Vegetable, red and orange:FAFH: Restaurant",2017-2018-Mean,0.01,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.08,Plant
"Vegetable, red and orange ",FAFH: Fast food,Cups,"Vegetable, red and orange:FAFH: Fast food",2017-2018-Mean,0.01,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.08,Plant
"Vegetable, red and orange ",FAFH: School,Cups,"Vegetable, red and orange:FAFH: School",2017-2018-Mean,0.0,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.0,Plant
"Vegetable, red and orange ",FAFH: Others,Cups,"Vegetable, red and orange:FAFH: Others",2017-2018-Mean,0.01,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.08,Plant
"Vegetable, dark green ",Total,Cups,"Vegetable, dark green:Total",2017-2018-Mean,0.14,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,1.12,Plant
"Vegetable, dark green ",FAH,Cups,"Vegetable, dark green:FAH",2017-2018-Mean,0.1,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.8,Plant
"Vegetable, dark green ",FAFH,Cups,"Vegetable, dark green:FAFH",2017-2018-Mean,0.04,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.32,Plant
"Vegetable, dark green ",FAFH: Restaurant,Cups,"Vegetable, dark green:FAFH: Restaurant",2017-2018-Mean,0.02,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.16,Plant
"Vegetable, dark green ",FAFH: Fast food,Cups,"Vegetable, dark green:FAFH: Fast food",2017-2018-Mean,0.01,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.08,Plant
"Vegetable, dark green ",FAFH: School,Cups,"Vegetable, dark green:FAFH: School",2017-2018-Mean,0.0,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.0,Plant
"Vegetable, dark green ",FAFH: Others,Cups,"Vegetable, dark green:FAFH: Others",2017-2018-Mean,0.01,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.08,Plant
"Vegetable, others",Total,Cups,"Vegetable, others:Total",2017-2018-Mean,0.48,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,3.84,Plant
"Vegetable, others",FAH,Cups,"Vegetable, others:FAH",2017-2018-Mean,0.3,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,2.4,Plant
"Vegetable, others",FAFH,Cups,"Vegetable, others:FAFH",2017-2018-Mean,0.18,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,1.44,Plant
"Vegetable, others",FAFH: Restaurant,Cups,"Vegetable, others:FAFH: Restaurant",2017-2018-Mean,0.07,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.56,Plant
"Vegetable, others",FAFH: Fast food,Cups,"Vegetable, others:FAFH: Fast food",2017-2018-Mean,0.08,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.64,Plant
"Vegetable, others",FAFH: School,Cups,"Vegetable, others:FAFH: School",2017-2018-Mean,0.0,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.0,Plant
"Vegetable, others",FAFH: Others,Cups,"Vegetable, others:FAFH: Others",2017-2018-Mean,0.03,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.24,Plant
Legumes ,Total,Cups,Legumes:Total,2017-2018-Mean,0.11,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.88,Plant
Legumes ,FAH,Cups,Legumes:FAH,2017-2018-Mean,0.07,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.56,Plant
Legumes ,FAFH,Cups,Legumes:FAFH,2017-2018-Mean,0.03,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.24,Plant
Legumes ,FAFH: Restaurant,Cups,Legumes:FAFH: Restaurant,2017-2018-Mean,0.01,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.08,Plant
Legumes ,FAFH: Fast food,Cups,Legumes:FAFH: Fast food,2017-2018-Mean,0.01,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.08,Plant
Legumes ,FAFH: School,Cups,Legumes:FAFH: School,2017-2018-Mean,0.0,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.0,Plant
Legumes ,FAFH: Others,Cups,Legumes:FAFH: Others,2017-2018-Mean,0.01,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.08,Plant
"Grains, total ",Total,Ounces,"Grains, total:Total",2017-2018-Mean,6.64,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,6.64,Plant
"Grains, total ",FAH,Ounces,"Grains, total:FAH",2017-2018-Mean,4.28,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,4.28,Plant
"Grains, total ",FAFH,Ounces,"Grains, total:FAFH",2017-2018-Mean,2.36,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,2.36,Plant
"Grains, total ",FAFH: Restaurant,Ounces,"Grains, total:FAFH: Restaurant",2017-2018-Mean,0.54,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.54,Plant
"Grains, total ",FAFH: Fast food,Ounces,"Grains, total:FAFH: Fast food",2017-2018-Mean,1.32,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,1.32,Plant
"Grains, total ",FAFH: School,Ounces,"Grains, total:FAFH: School",2017-2018-Mean,0.11,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.11,Plant
"Grains, total ",FAFH: Others,Ounces,"Grains, total:FAFH: Others",2017-2018-Mean,0.4,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.4,Plant
"Grains, non-whole grains ",Total,Ounces,"Grains, non-whole grains:Total",2017-2018-Mean,5.79,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,5.79,Plant
"Grains, non-whole grains ",FAH,Ounces,"Grains, non-whole grains:FAH",2017-2018-Mean,3.55,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,3.55,Plant
"Grains, non-whole grains ",FAFH,Ounces,"Grains, non-whole grains:FAFH",2017-2018-Mean,2.24,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,2.24,Plant
"Grains, non-whole grains ",FAFH: Restaurant,Ounces,"Grains, non-whole grains:FAFH: Restaurant",2017-2018-Mean,0.52,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.52,Plant
"Grains, non-whole grains ",FAFH: Fast food,Ounces,"Grains, non-whole grains:FAFH: Fast food",2017-2018-Mean,1.28,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,1.28,Plant
"Grains, non-whole grains ",FAFH: School,Ounces,"Grains, non-whole grains:FAFH: School",2017-2018-Mean,0.08,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.08,Plant
"Grains, non-whole grains ",FAFH: Others,Ounces,"Grains, non-whole grains:FAFH: Others",2017-2018-Mean,0.37,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.37,Plant
"Grains, whole grains ",Total,Ounces,"Grains, whole grains:Total",2017-2018-Mean,0.84,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.84,Plant
"Grains, whole grains ",FAH,Ounces,"Grains, whole grains:FAH",2017-2018-Mean,0.73,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.73,Plant
"Grains, whole grains ",FAFH,Ounces,"Grains, whole grains:FAFH",2017-2018-Mean,0.12,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.12,Plant
"Grains, whole grains ",FAFH: Restaurant,Ounces,"Grains, whole grains:FAFH: Restaurant",2017-2018-Mean,0.02,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.02,Plant
"Grains, whole grains ",FAFH: Fast food,Ounces,"Grains, whole grains:FAFH: Fast food",2017-2018-Mean,0.04,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.04,Plant
"Grains, whole grains ",FAFH: School,Ounces,"Grains, whole grains:FAFH: School",2017-2018-Mean,0.03,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.03,Plant
"Grains, whole grains ",FAFH: Others,Ounces,"Grains, whole grains:FAFH: Others",2017-2018-Mean,0.02,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.02,Plant
"Protein foods, total ",Total,Ounces,"Protein foods, total:Total",2017-2018-Mean,5.84,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,5.84,Other
"Protein foods, total ",FAH,Ounces,"Protein foods, total:FAH",2017-2018-Mean,3.8,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,3.8,Other
"Protein foods, total ",FAFH,Ounces,"Protein foods, total:FAFH",2017-2018-Mean,2.04,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,2.04,Other
"Protein foods, total ",FAFH: Restaurant,Ounces,"Protein foods, total:FAFH: Restaurant",2017-2018-Mean,0.67,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.67,Other
"Protein foods, total ",FAFH: Fast food,Ounces,"Protein foods, total:FAFH: Fast food",2017-2018-Mean,0.97,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.97,Other
"Protein foods, total ",FAFH: School,Ounces,"Protein foods, total:FAFH: School",2017-2018-Mean,0.04,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.04,Other
"Protein foods, total ",FAFH: Others,Ounces,"Protein foods, total:FAFH: Others",2017-2018-Mean,0.35,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.35,Other
"Protein foods, meats, poultry, and fish ",Total,Ounces,"Protein foods, meats, poultry, and fish:Total",2017-2018-Mean,4.47,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,4.47,Animal
"Protein foods, meats, poultry, and fish ",FAH,Ounces,"Protein foods, meats, poultry, and fish:FAH",2017-2018-Mean,2.69,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,2.69,Animal
"Protein foods, meats, poultry, and fish ",FAFH,Ounces,"Protein foods, meats, poultry, and fish:FAFH",2017-2018-Mean,1.78,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,1.78,Animal
"Protein foods, meats, poultry, and fish ",FAFH: Restaurant,Ounces,"Protein foods, meats, poultry, and fish:FAFH: Restaurant",2017-2018-Mean,0.59,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.59,Animal
"Protein foods, meats, poultry, and fish ",FAFH: Fast food,Ounces,"Protein foods, meats, poultry, and fish:FAFH: Fast food",2017-2018-Mean,0.89,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.89,Animal
"Protein foods, meats, poultry, and fish ",FAFH: School,Ounces,"Protein foods, meats, poultry, and fish:FAFH: School",2017-2018-Mean,0.04,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.04,Animal
"Protein foods, meats, poultry, and fish ",FAFH: Others,Ounces,"Protein foods, meats, poultry, and fish:FAFH: Others",2017-2018-Mean,0.26,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.26,Animal
"Protein foods, meats (beef, veal, pork, lamb, game)",Total,Ounces,"Protein foods, meats (beef, veal, pork, lamb, game):Total",2017-2018-Mean,1.45,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,1.45,Animal
"Protein foods, meats (beef, veal, pork, lamb, game)",FAH,Ounces,"Protein foods, meats (beef, veal, pork, lamb, game):FAH",2017-2018-Mean,0.87,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.87,Animal
"Protein foods, meats (beef, veal, pork, lamb, game)",FAFH,Ounces,"Protein foods, meats (beef, veal, pork, lamb, game):FAFH",2017-2018-Mean,0.58,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.58,Animal
"Protein foods, meats (beef, veal, pork, lamb, game)",FAFH: Restaurant,Ounces,"Protein foods, meats (beef, veal, pork, lamb, game):FAFH: Restaurant",2017-2018-Mean,0.2,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.2,Animal
"Protein foods, meats (beef, veal, pork, lamb, game)",FAFH: Fast food,Ounces,"Protein foods, meats (beef, veal, pork, lamb, game):FAFH: Fast food",2017-2018-Mean,0.28,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.28,Animal
"Protein foods, meats (beef, veal, pork, lamb, game)",FAFH: School,Ounces,"Protein foods, meats (beef, veal, pork, lamb, game):FAFH: School",2017-2018-Mean,0.01,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.01,Animal
"Protein foods, meats (beef, veal, pork, lamb, game)",FAFH: Others,Ounces,"Protein foods, meats (beef, veal, pork, lamb, game):FAFH: Others",2017-2018-Mean,0.09,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.09,Animal
"Protein foods, poultry ",Total,Ounces,"Protein foods, poultry:Total",2017-2018-Mean,1.56,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,1.56,Animal
"Protein foods, poultry ",FAH,Ounces,"Protein foods, poultry:FAH",2017-2018-Mean,0.81,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.81,Animal
"Protein foods, poultry ",FAFH,Ounces,"Protein foods, poultry:FAFH",2017-2018-Mean,0.74,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.74,Animal
"Protein foods, poultry ",FAFH: Restaurant,Ounces,"Protein foods, poultry:FAFH: Restaurant",2017-2018-Mean,0.22,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.22,Animal
"Protein foods, poultry ",FAFH: Fast food,Ounces,"Protein foods, poultry:FAFH: Fast food",2017-2018-Mean,0.42,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.42,Animal
"Protein foods, poultry ",FAFH: School,Ounces,"Protein foods, poultry:FAFH: School",2017-2018-Mean,0.02,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.02,Animal
"Protein foods, poultry ",FAFH: Others,Ounces,"Protein foods, poultry:FAFH: Others",2017-2018-Mean,0.09,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.09,Animal
"Protein foods, high Omega-3 fatty fish ",Total,Ounces,"Protein foods, high Omega-3 fatty fish:Total",2017-2018-Mean,0.12,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.12,Animal
"Protein foods, high Omega-3 fatty fish ",FAH,Ounces,"Protein foods, high Omega-3 fatty fish:FAH",2017-2018-Mean,0.1,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.1,Animal
"Protein foods, high Omega-3 fatty fish ",FAFH,Ounces,"Protein foods, high Omega-3 fatty fish:FAFH",2017-2018-Mean,0.03,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.03,Animal
"Protein foods, high Omega-3 fatty fish ",FAFH: Restaurant,Ounces,"Protein foods, high Omega-3 fatty fish:FAFH: Restaurant",2017-2018-Mean,0.02,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.02,Animal
"Protein foods, high Omega-3 fatty fish ",FAFH: Fast food,Ounces,"Protein foods, high Omega-3 fatty fish:FAFH: Fast food",2017-2018-Mean,0.0,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.0,Animal
"Protein foods, high Omega-3 fatty fish ",FAFH: School,Ounces,"Protein foods, high Omega-3 fatty fish:FAFH: School",2017-2018-Mean,0.0,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.0,Animal
"Protein foods, high Omega-3 fatty fish ",FAFH: Others,Ounces,"Protein foods, high Omega-3 fatty fish:FAFH: Others",2017-2018-Mean,0.0,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.0,Animal
"Protein foods, low Omega-3 fatty fish",Total,Ounces,"Protein foods, low Omega-3 fatty fish:Total",2017-2018-Mean,0.4,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.4,Animal
"Protein foods, low Omega-3 fatty fish",FAH,Ounces,"Protein foods, low Omega-3 fatty fish:FAH",2017-2018-Mean,0.23,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.23,Animal
"Protein foods, low Omega-3 fatty fish",FAFH,Ounces,"Protein foods, low Omega-3 fatty fish:FAFH",2017-2018-Mean,0.17,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.17,Animal
"Protein foods, low Omega-3 fatty fish",FAFH: Restaurant,Ounces,"Protein foods, low Omega-3 fatty fish:FAFH: Restaurant",2017-2018-Mean,0.1,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.1,Animal
"Protein foods, low Omega-3 fatty fish",FAFH: Fast food,Ounces,"Protein foods, low Omega-3 fatty fish:FAFH: Fast food",2017-2018-Mean,0.05,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.05,Animal
"Protein foods, low Omega-3 fatty fish",FAFH: School,Ounces,"Protein foods, low Omega-3 fatty fish:FAFH: School",2017-2018-Mean,0.0,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.0,Animal
"Protein foods, low Omega-3 fatty fish",FAFH: Others,Ounces,"Protein foods, low Omega-3 fatty fish:FAFH: Others",2017-2018-Mean,0.02,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.02,Animal
"Protein foods, cured meat",Total,Ounces,"Protein foods, cured meat:Total",2017-2018-Mean,0.92,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.92,Animal
"Protein foods, cured meat",FAH,Ounces,"Protein foods, cured meat:FAH",2017-2018-Mean,0.67,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.67,Animal
"Protein foods, cured meat",FAFH,Ounces,"Protein foods, cured meat:FAFH",2017-2018-Mean,0.25,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.25,Animal
"Protein foods, cured meat",FAFH: Restaurant,Ounces,"Protein foods, cured meat:FAFH: Restaurant",2017-2018-Mean,0.04,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.04,Animal
"Protein foods, cured meat",FAFH: Fast food,Ounces,"Protein foods, cured meat:FAFH: Fast food",2017-2018-Mean,0.14,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.14,Animal
"Protein foods, cured meat",FAFH: School,Ounces,"Protein foods, cured meat:FAFH: School",2017-2018-Mean,0.01,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.01,Animal
"Protein foods, cured meat",FAFH: Others,Ounces,"Protein foods, cured meat:FAFH: Others",2017-2018-Mean,0.07,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.07,Animal
"Protein foods, organ meats ",Total,Ounces,"Protein foods, organ meats:Total",2017-2018-Mean,0.01,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.01,Animal
"Protein foods, organ meats ",FAH,Ounces,"Protein foods, organ meats:FAH",2017-2018-Mean,0.0,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.0,Animal
"Protein foods, organ meats ",FAFH,Ounces,"Protein foods, organ meats:FAFH",2017-2018-Mean,0.01,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.01,Animal
"Protein foods, organ meats ",FAFH: Restaurant,Ounces,"Protein foods, organ meats:FAFH: Restaurant",2017-2018-Mean,0.01,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.01,Animal
"Protein foods, organ meats ",FAFH: Fast food,Ounces,"Protein foods, organ meats:FAFH: Fast food",2017-2018-Mean,0.0,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.0,Animal
"Protein foods, organ meats ",FAFH: School,Ounces,"Protein foods, organ meats:FAFH: School",2017-2018-Mean,0.0,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.0,Animal
"Protein foods, organ meats ",FAFH: Others,Ounces,"Protein foods, organ meats:FAFH: Others",2017-2018-Mean,0.0,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.0,Animal
"Protein foods, eggs",Total,Ounces,"Protein foods, eggs:Total",2017-2018-Mean,0.57,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.57,Animal
"Protein foods, eggs",FAH,Ounces,"Protein foods, eggs:FAH",2017-2018-Mean,0.42,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.42,Animal
"Protein foods, eggs",FAFH,Ounces,"Protein foods, eggs:FAFH",2017-2018-Mean,0.15,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.15,Animal
