Food group,Food source,Measurement,Food group:Food source,Survey years:Variable,Value,Table,Demographics,ozEquivalent,foodType
Discretionary fats ,FAFH: Fast food,Grams,Discretionary fats:FAFH: Fast food,2017-2018-Mean,6.66,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.23492063492063492,Other
Discretionary fats ,FAFH: School,Grams,Discretionary fats:FAFH: School,2017-2018-Mean,0.45,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.015873015873015872,Other
Discretionary fats ,FAFH: Others,Grams,Discretionary fats:FAFH: Others,2017-2018-Mean,2.58,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.091005291005291,Other
Discretionary oils ,Total,Grams,Discretionary oils:Total,2017-2018-Mean,29.12,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,1.0271604938271606,Other
Discretionary oils ,FAH,Grams,Discretionary oils:FAH,2017-2018-Mean,17.58,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.62010582010582,Other
Discretionary oils ,FAFH,Grams,Discretionary oils:FAFH,2017-2018-Mean,11.55,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.4074074074074074,Other
Discretionary oils ,FAFH: Restaurant,Grams,Discretionary oils:FAFH: Restaurant,2017-2018-Mean,3.5,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.12345679012345678,Other
Discretionary oils ,FAFH: Fast food,Grams,Discretionary oils:FAFH: Fast food,2017-2018-Mean,6.02,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.21234567901234566,Other
Discretionary oils ,FAFH: School,Grams,Discretionary oils:FAFH: School,2017-2018-Mean,0.29,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.010229276895943561,Other
Discretionary oils ,FAFH: Others,Grams,Discretionary oils:FAFH: Others,2017-2018-Mean,1.74,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.061375661375661375,Other
"Dairy, total ",Total,Cups,"Dairy, total:Total",2017-2018-Mean,1.53,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,12.24,Animal
"Dairy, total ",FAH,Cups,"Dairy, total:FAH",2017-2018-Mean,1.07,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,8.56,Animal
"Dairy, total ",FAFH,Cups,"Dairy, total:FAFH",2017-2018-Mean,0.47,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,3.76,Animal
"Dairy, total ",FAFH: Restaurant,Cups,"Dairy, total:FAFH: Restaurant",2017-2018-Mean,0.09,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.72,Animal
"Dairy, total ",FAFH: Fast food,Cups,"Dairy, total:FAFH: Fast food",2017-2018-Mean,0.26,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,2.08,Animal
"Dairy, total ",FAFH: School,Cups,"Dairy, total:FAFH: School",2017-2018-Mean,0.05,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.4,Animal
"Dairy, total ",FAFH: Others,Cups,"Dairy, total:FAFH: Others",2017-2018-Mean,0.06,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.48,Animal
"Dairy, fluid milk",Total,Cups,"Dairy, fluid milk:Total",2017-2018-Mean,0.69,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,5.52,Animal
"Dairy, fluid milk",FAH,Cups,"Dairy, fluid milk:FAH",2017-2018-Mean,0.55,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,4.4,Animal
"Dairy, fluid milk",FAFH,Cups,"Dairy, fluid milk:FAFH",2017-2018-Mean,0.14,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,1.12,Animal
"Dairy, fluid milk",FAFH: Restaurant,Cups,"Dairy, fluid milk:FAFH: Restaurant",2017-2018-Mean,0.01,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.08,Animal
"Dairy, fluid milk",FAFH: Fast food,Cups,"Dairy, fluid milk:FAFH: Fast food",2017-2018-Mean,0.06,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.48,Animal
