EstablishmentNumber,EstablishmentName,EstablishmentID,GCP_TotalInspections,GCP_TotalNRs,GCP_TotalMOIs,Lab_TotalSamples,Lab_SalmonellaPositive,Lab_CampylobacterPositive,Lab_SalmonellaPositiveRate,Lab_CampylobacterPositiveRate,_merge
P17966+V17966,"HVFG, LLC                                                                                           ",1384.0,261.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,both
P18285,Perdue Foods LLC                                                                                    ,734.0,390.0,0.0,0.0,124.0,11.0,0.0,8.87,0.0,both
P18414,MB Consultants LTD                                                                                  ,1406.0,247.0,0.0,0.0,45.0,1.0,0.0,2.22,0.0,both
P18438B,"Dupont Market, Inc. dba Grimaud Farms                                                               ",6164113.0,250.0,0.0,0.0,56.0,13.0,0.0,23.21,0.0,both
P18557,"Sanderson Farms, Inc.                                                                               ",4530.0,508.0,0.0,0.0,100.0,4.0,0.0,4.0,0.0,both
P18978,Misty Knoll Farms                                                                                   ,1840.0,126.0,0.0,0.0,70.0,5.0,0.0,7.14,0.0,both
P19112,Perdue Foods LLC                                                                                    ,2160.0,515.0,0.0,0.0,110.0,4.0,0.0,3.64,0.0,both
P19128,Case Farms Processing                                                                               ,750.0,542.0,0.0,0.0,109.0,9.0,0.0,8.26,0.0,both
P19150+V19150,La Belle Farm Inc                                                                                   ,7889.0,219.0,0.0,0.0,37.0,26.0,0.0,70.27,0.0,both
P192,Pilgrim's Pride Corporation                                                                         ,4501.0,520.0,0.0,0.0,106.0,2.0,0.0,1.89,0.0,both
P1949,"Simmons Prepared Foods, Inc.                                                                        ",6164265.0,502.0,0.0,0.0,97.0,3.0,0.0,3.09,0.0,both
P19514,"Tyson Foods, Inc.                                                                                   ",2173.0,544.0,0.0,6.0,112.0,6.0,0.0,5.36,0.0,both
P19688+V19688,"Sanderson Farms, Inc.                                                                               ",4420.0,589.0,0.0,0.0,112.0,5.0,0.0,4.46,0.0,both
P1978,Pasture Raised Foods LLC                                                                            ,6167518.0,146.0,0.0,0.0,76.0,14.0,0.0,18.42,0.0,both
P19865+V19865,House of Raeford Farms of LA                                                                        ,4093.0,529.0,0.0,0.0,118.0,11.0,0.0,9.32,0.0,both
P20245,"Keystone Foods, LLC                                                                                 ",2197.0,506.0,0.0,0.0,126.0,6.0,0.0,4.76,0.0,both
P206+V206,Pilgrim's Pride Corporation                                                                         ,4141.0,476.0,0.0,0.0,91.0,3.0,0.0,3.3,0.0,both
P208+V208,"George's Processing, Inc.                                                                           ",3851.0,516.0,0.0,0.0,106.0,8.0,0.0,7.55,0.0,both
P211,"Palmetto Pigeon Plant, Inc.                                                                         ",7996.0,159.0,0.0,0.0,23.0,12.0,0.0,52.17,0.0,both
P21234,Perdue Foods LLC                                                                                    ,7855.0,504.0,0.0,0.0,86.0,8.0,0.0,9.3,0.0,both
P2171,DiPaola Turkeys Inc.                                                                                ,891.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,both
P2178,PERDUE FOODS LLC                                                                                    ,2278.0,736.0,0.0,0.0,170.0,37.0,0.0,21.76,0.0,both
P218,Pilgrim's Pride Corporation                                                                         ,4142.0,501.0,0.0,1.0,93.0,5.0,0.0,5.38,0.0,both
P2186,"GEORGE'S FOODS, LLC                                                                                 ",2279.0,523.0,0.0,1.0,118.0,8.0,0.0,6.78,0.0,both
P22000,"Prestage Foods, Inc.                                                                                ",8371.0,247.0,0.0,1.0,84.0,9.0,0.0,10.71,0.0,both
P2372,DRR Processing LLC                                                                                  ,6167729.0,229.0,0.0,0.0,12.0,5.0,0.0,41.67,0.0,both
P243,"Tyson Foods, Inc.                                                                                   ",15.0,336.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,both
P244+V244A,Plainville Farms                                                                                    ,6488.0,220.0,0.0,0.0,81.0,9.0,0.0,11.11,0.0,both
P247,"Sanderson Farms, Inc. (Processing Div)                                                              ",4554.0,497.0,0.0,0.0,92.0,1.0,0.0,1.09,0.0,both
P2632,Pilgrim's Pride Corporation                                                                         ,60.0,641.0,0.0,0.0,108.0,4.0,0.0,3.7,0.0,both
P2686,"Keystone Foods, LLC                                                                                 ",63.0,442.0,0.0,0.0,100.0,4.0,0.0,4.0,0.0,both
P27+V27,"Tyson Foods, Inc.                                                                                   ",3937.0,492.0,0.0,0.0,22.0,2.0,0.0,9.09,0.0,both
P286,Perdue Foods LLC                                                                                    ,2501.0,464.0,0.0,1.0,71.0,23.0,0.0,32.39,0.0,both
P2882,Perdue Foods LLC                                                                                    ,5204.0,272.0,0.0,0.0,64.0,6.0,0.0,9.38,0.0,both
P2894,House of Raeford Vienna                                                                             ,6168273.0,404.0,0.0,0.0,88.0,3.0,0.0,3.41,0.0,both
P308,Koch Foods of Mississippi                                                                           ,4487.0,511.0,0.0,2.0,93.0,8.0,0.0,8.6,0.0,both
P32,"Mar-Jac Poultry, Inc.                                                                               ",2.0,689.0,0.0,1.0,103.0,2.0,0.0,1.94,0.0,both
P320,"Sanderson Farms, Inc.                                                                               ",4540.0,509.0,0.0,0.0,108.0,2.0,0.0,1.85,0.0,both
