EstablishmentNumber,EstablishmentName,EstablishmentID,GCP_TotalInspections,GCP_TotalNRs,GCP_TotalMOIs,Lab_TotalSamples,Lab_SalmonellaPositive,Lab_CampylobacterPositive,Lab_SalmonellaPositiveRate,Lab_CampylobacterPositiveRate,_merge
P7632,"Foster Poultry Farms, LLC                                                                           ",5333.0,553.0,0.0,0.0,107.0,11.0,0.0,10.28,0.0,both
P764,"Perdue Foods, LLC                                                                                   ",2250.0,504.0,0.0,0.0,81.0,4.0,0.0,4.94,0.0,both
P7669,"Turkey Valley Farms, Inc.                                                                           ",3431.0,218.0,0.0,2.0,40.0,1.0,0.0,2.5,0.0,both
P768+V768,"Tyson Foods, Inc.                                                                                   ",3841.0,427.0,0.0,7.0,95.0,3.0,0.0,3.16,0.0,both
P7769,"Farbest Foods, Inc.                                                                                 ",2643.0,531.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,both
P7903,"Perdue Foods, LLC                                                                                   ",2349.0,529.0,0.0,0.0,114.0,4.0,0.0,3.51,0.0,both
P7927,"AMICK FARMS, LLC                                                                                    ",2351.0,605.0,0.0,1.0,111.0,2.0,0.0,1.8,0.0,both
P794,"B&B Poultry Co., Inc.                                                                               ",847.0,237.0,0.0,2.0,80.0,16.0,0.0,20.0,0.0,both
P806,"Tyson Foods, Inc.                                                                                   ",2251.0,527.0,0.0,1.0,113.0,8.0,0.0,7.08,0.0,both
P8107+V8107,Squab Producers Of California                                                                       ,5343.0,238.0,0.0,0.0,46.0,3.0,0.0,6.52,0.0,both
P843,Pilgrim's Pride Corporation                                                                         ,566.0,726.0,0.0,0.0,108.0,3.0,0.0,2.78,0.0,both
P855,Pilgrim's Pride Corporation                                                                         ,38.0,524.0,0.0,0.0,55.0,4.0,0.0,7.27,0.0,both
P890,"Peco Foods, Inc.                                                                                    ",4562.0,491.0,0.0,0.0,78.0,7.0,0.0,8.97,0.0,both
P910,"Harrison Poultry, Inc.                                                                              ",39.0,505.0,0.0,0.0,106.0,2.0,0.0,1.89,0.0,both
P912,Wayne Farms LLC                                                                                     ,4493.0,507.0,0.0,0.0,102.0,4.0,0.0,3.92,0.0,both
P9197,"Perdue Foods, LLC.                                                                                  ",696.0,518.0,0.0,0.0,123.0,8.0,0.0,6.5,0.0,both
P9332,Diestel Turkey Ranch                                                                                ,5400.0,144.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,both
P935,Allen Harim LLC                                                                                     ,2260.0,526.0,0.0,1.0,107.0,4.0,0.0,3.74,0.0,both
P9378+V9378,Baffoni's Poultry Farm Inc.                                                                         ,124559.0,231.0,0.0,0.0,26.0,7.0,0.0,26.92,0.0,both
P961,Cargill Meat Solutions                                                                              ,3545.0,225.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,both
